任务编号,用户ID,接单时间,完成时间,状态,淘宝订单号,旺旺号,关键词,商品名,师傅佣金,徒弟佣金
49,1000000023,20180614-1800,19700101-0800,任务进行中,,吴冲,短裤 男,短裤男夏季宽松运动裤个性棉麻五分裤男撞色条纹沙滩裤夏天大裤衩,5,2
44,1000000023,20180614-1800,19700101-0800,任务进行中,,吴冲,14141,9879879797987897,3,3
23,1000000021,20180614-1754,19700101-0800,任务进行中,,111,可以,浓浓,3,3
38,1000000023,20180614-1754,19700101-0800,任务进行中,,吴冲,可以,衬衫,3,3
18,1000000018,20180614-1748,19700101-0800,任务进行中,,请问你是什么,测试,这是一个测试,3,3
30,1000000023,20180614-1721,19700101-0800,任务进行中,,吴冲,ooo,nonunion,3,3
22,1000000021,20180614-1457,19700101-0800,任务进行中,,111,哦哦哦,勿忘我,3,3
25,1000000023,20180614-1403,19700101-0800,任务进行中,,吴冲,哦哦哦,勿忘我,3,3
24,1000000023,20180614-1351,19700101-0800,任务进行中,,吴冲,123,test,3,3
23,1000000023,20180614-1347,19700101-0800,任务进行中,,吴冲,可以,浓浓,3,3
22,1000000023,20180614-1339,19700101-0800,任务进行中,,吴冲,哦哦哦,勿忘我,3,3
18,1000000023,20180614-1329,19700101-0800,任务进行中,,吴冲,测试,这是一个测试,3,3
30,1000000016,20180614-1321,19700101-0800,任务进行中,,爱朝朝15,ooo,nonunion,3,3
25,1000000016,20180614-1321,19700101-0800,任务进行中,,爱朝朝15,哦哦哦,勿忘我,3,3
24,1000000016,20180614-1318,19700101-0800,任务进行中,,爱朝朝15,123,test,3,3
23,1000000016,20180614-1318,19700101-0800,任务进行中,,爱朝朝15,可以,浓浓,3,3
22,1000000016,20180614-1317,19700101-0800,任务进行中,,爱朝朝15,哦哦哦,勿忘我,3,3
18,1000000016,20180614-1314,19700101-0800,任务进行中,,爱朝朝15,测试,这是一个测试,3,3
44,1000000017,20180614-1235,19700101-0800,任务进行中,,狮子,14141,9879879797987897,3,3
18,1000000021,20180614-1039,19700101-0800,任务进行中,,111,测试,这是一个测试,3,3
25,1000000017,20180614-0204,19700101-0800,任务进行中,,狮子,哦哦哦,勿忘我,3,3
24,1000000017,20180613-2153,19700101-0800,任务进行中,,狮子,123,test,3,3
23,1000000017,20180613-2153,19700101-0800,任务进行中,,狮子,可以,浓浓,3,3
20,1000000017,20180613-1948,19700101-0800,任务进行中,,狮子,哦哦哦,嗡嗡嗡,3,3
18,1000000017,20180613-1947,19700101-0800,任务进行中,,狮子,测试,这是一个测试,3,3
15,1000000017,20180613-1744,19700101-0800,任务进行中,,狮子,ooo,nonunion,3,3
13,1000000017,20180613-1737,19700101-0800,任务进行中,,狮子,可以,衬衫,3,2
13,1000000014,20180613-1512,19700101-0800,任务进行中,,东阳呆阿,可以,衬衫,3,2
24,1000000009,20180613-1300,19700101-0800,任务进行中,,wangwang,123,test,3,3
23,1000000009,20180613-1259,19700101-0800,任务进行中,,wangwang,可以,浓浓,3,3
20,1000000009,20180613-1102,19700101-0800,任务进行中,,wangwang,哦哦哦,嗡嗡嗡,3,3
16,1000000009,20180613-1102,19700101-0800,任务进行中,,wangwang,测试,这是一个测试,3,3
15,1000000009,20180613-1100,19700101-0800,任务进行中,,wangwang,ooo,nonunion,3,3
13,1000000009,20180613-1058,19700101-0800,任务进行中,,wangwang,可以,衬衫,3,2
25,1000000011,20180613-0845,19700101-0800,任务进行中,,吴冲,哦哦哦,勿忘我,3,3
24,1000000011,20180613-0844,19700101-0800,任务进行中,,吴冲,123,test,3,3
23,1000000011,20180612-1727,19700101-0800,任务进行中,,吴冲,可以,浓浓,3,3
20,1000000011,20180612-1726,19700101-0800,任务进行中,,吴冲,哦哦哦,嗡嗡嗡,3,3
25,1000000012,20180612-1446,19700101-0800,任务进行中,,wangwang,哦哦哦,勿忘我,3,3
24,1000000012,20180612-1446,19700101-0800,任务进行中,,wangwang,123,test,3,3
23,1000000012,20180612-1446,19700101-0800,任务进行中,,wangwang,可以,浓浓,3,3
20,1000000012,20180612-1446,19700101-0800,任务进行中,,wangwang,哦哦哦,嗡嗡嗡,3,3
15,1000000012,20180612-1446,19700101-0800,任务进行中,,wangwang,ooo,nonunion,3,3
14,1000000012,20180612-1446,19700101-0800,任务进行中,,wangwang,测试,这是一个测试,3,3
15,1000000011,20180612-1330,19700101-0800,任务进行中,,吴冲,ooo,nonunion,3,3
14,1000000011,20180612-1329,19700101-0800,任务进行中,,吴冲,测试,这是一个测试,3,3
14,1000000013,20180612-1329,19700101-0800,任务进行中,,测试123,测试,这是一个测试,3,3
12,1000000011,20180612-1328,19700101-0800,任务进行中,,吴冲,可以,衬衫,3,2
12,1000000013,20180612-1107,19700101-0800,任务进行中,,测试123,可以,衬衫,3,2
