订单ID,任务编号,用户ID,接单时间,完成时间,状态,淘宝订单号,旺旺号,关键词,商品名,师傅佣金,徒弟佣金
204,71,1000000023,20180615-1322,19700101-0800,任务进行中,,吴冲,测试,金坷垃,3,2
191,55,1000000012,20180614-2246,19700101-0800,任务进行中,,wangwang,短裤 男,短裤男夏季宽松运动裤个性棉麻五分裤男撞色条纹沙滩裤夏天大裤衩,3,2
169,44,1000000017,20180614-1235,19700101-0800,任务进行中,,狮子,14141,9879879797987897,3,3
184,38,1000000023,20180614-1754,19700101-0800,任务进行中,,吴冲,可以,衬衫,3,3
195,35,1000000021,20180615-1034,19700101-0800,任务进行中,,111,哦哦哦,勿忘我,3,3
163,18,1000000017,20180613-1947,19700101-0800,任务进行中,,狮子,测试,这是一个测试,3,3
191,55,1000000012,20180614-2246,19700101-0800,任务进行中,,wangwang,短裤 男,短裤男夏季宽松运动裤个性棉麻五分裤男撞色条纹沙滩裤夏天大裤衩,3,2
169,44,1000000017,20180614-1235,19700101-0800,任务进行中,,狮子,14141,9879879797987897,3,3
184,38,1000000023,20180614-1754,19700101-0800,任务进行中,,吴冲,可以,衬衫,3,3
195,35,1000000021,20180615-1034,19700101-0800,任务进行中,,111,哦哦哦,勿忘我,3,3
175,30,1000000016,20180614-1321,19700101-0800,任务进行中,,爱朝朝15,ooo,nonunion,3,3
193,33,1000000018,20180615-1033,19700101-0800,任务进行中,,请问你是什么,可以,浓浓,3,3
175,30,1000000016,20180614-1321,19700101-0800,任务进行中,,爱朝朝15,ooo,nonunion,3,3
191,55,1000000012,20180614-2246,19700101-0800,任务进行中,,wangwang,短裤 男,短裤男夏季宽松运动裤个性棉麻五分裤男撞色条纹沙滩裤夏天大裤衩,3,2
169,44,1000000017,20180614-1235,19700101-0800,任务进行中,,狮子,14141,9879879797987897,3,3
175,30,1000000016,20180614-1321,19700101-0800,任务进行中,,爱朝朝15,ooo,nonunion,3,3
163,18,1000000017,20180613-1947,19700101-0800,任务进行中,,狮子,测试,这是一个测试,3,3
187,49,1000000023,20180614-1800,19700101-0800,任务进行中,,吴冲,短裤 男,短裤男夏季宽松运动裤个性棉麻五分裤男撞色条纹沙滩裤夏天大裤衩,5,2
169,44,1000000017,20180614-1235,19700101-0800,任务进行中,,狮子,14141,9879879797987897,3,3
